step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
217,74481,217,0.3436930601638233,0.0,0.9069767441860465
218,74746,218,1.513216593775168,0.0,0.5910931174089069
219,75051,219,1.7830312362979006,0.0,0.6020761245674741
220,75484,220,2.0417616939127274,0.0,0.5122549019607843
221,75549,221,0.6492164450925338,0.0,0.803921568627451
222,76262,222,2.192110240161716,0.0,0.5201729106628242
223,76327,223,0.9580980676750732,0.0,0.7222222222222222
224,76544,224,1.168247232644807,0.0,0.6780487804878049
225,77097,225,2.0473524019874145,0.0,0.5231053604436229
226,77410,226,2.068658993939027,0.0,0.5302013422818792
227,77443,227,0.15480829458581866,0.0,0.9523809523809523
228,77476,228,0.3454331756121246,0.0,0.85
229,78101,229,2.2441492492400834,0.0,0.5310457516339869
230,78318,230,1.3834390986856022,0.0,0.6502463054187192
231,78575,231,1.368710770400055,0.0,0.6239669421487604
232,79056,232,2.0923098245851093,0.0,0.5321888412017167
233,79401,233,1.701828522109145,0.0,0.573170731707317
234,80250,234,2.0729352684609617,0.0,0.5379061371841155
235,80339,235,0.8344053534088147,0.0,0.7142857142857143
236,80412,236,1.3393182931898464,0.0,0.6206896551724138
237,80981,237,2.031216436452011,0.0,0.5207956600361664
238,81230,238,1.4110156099768953,0.0,0.6190476190476191
239,81831,239,1.8143285080289724,0.0,0.5804794520547946
240,82176,240,1.7416160560711145,0.0,0.6050156739811913
241,82681,241,1.6388414789865693,0.0,0.5801217038539553
242,82882,242,1.501135430067535,0.0,0.5815217391304348
243,83419,243,1.5679548432464134,0.0,0.6337760910815939
244,83588,244,1.4399752518998068,0.0,0.6025641025641025
245,83821,245,1.4674391287797963,0.0,0.6486486486486487
246,83870,246,0.9990464852028526,0.0,0.6578947368421053
247,84319,247,2.042896340161015,0.0,0.5273972602739726
248,84456,248,1.2665303447220804,0.0,0.6935483870967742
249,86241,249,2.1642341568740338,0.0,0.497447532614861
250,86482,250,1.2055328098858504,0.0,0.6810344827586207
251,86707,251,1.3260652385371003,0.0,0.6305418719211823
252,87236,252,1.6399783195216155,0.0,0.6
253,87381,253,2.27126263532946,0.0,0.4393939393939394
254,87942,254,1.6812947200097617,0.0,0.5551401869158878
255,88143,255,1.2890249731106727,0.0,0.6593406593406593
256,88488,256,1.7859531797384829,0.0,0.5850746268656717
257,88537,257,0.6684053959726588,0.0,0.7419354838709677
258,88794,258,2.542219990393561,0.0,0.49795918367346936
259,89307,259,2.2009900987439943,0.0,0.468
260,89476,260,1.087379605645459,0.0,0.6623376623376623
261,89829,261,1.7980838214958452,0.0,0.5835777126099707
262,90158,262,1.6255301096814434,0.0,0.5880503144654088
263,90831,263,2.042041385076762,0.0,0.49233128834355827
264,91392,264,1.7682548333413168,0.0,0.5722326454033771
265,92001,265,1.8838373901982424,0.0,0.5252707581227437
266,92074,266,0.8590892658795605,0.0,0.7192982456140351
267,92315,267,1.5743494979155395,0.0,0.586046511627907
268,92436,268,1.62057713243829,0.0,0.5660377358490566
269,93181,269,2.3786735060440467,0.0,0.49175824175824173
270,93374,270,1.9038975303982109,0.0,0.5359116022099447
271,93431,271,0.6752547499271375,0.0,0.8
272,93696,272,1.6314630003317585,0.0,0.5291666666666667
273,93785,273,0.9407735530896622,0.0,0.6056338028169014
274,93826,274,1.0710932221524416,0.0,0.5714285714285714
275,94211,275,1.8433812768529996,0.0,0.5283018867924528
276,94548,276,1.3698852337060403,0.0,0.7006172839506173
277,94813,277,1.8514023439457719,0.0,0.562753036437247
278,95502,278,1.7758602801469634,0.0,0.5513595166163142
279,95607,279,1.4989142933544086,0.0,0.6153846153846154
280,95664,280,0.6032238264322015,0.0,0.775
281,95889,281,1.7822559814929362,0.0,0.5235849056603774
282,97210,282,2.0888795709974652,0.0,0.5206422018348624
283,97251,283,0.7807734009549022,0.0,0.68
284,98244,284,2.0957032647889453,0.0,0.5485188968335035
285,98733,285,1.7811007358960207,0.0,0.5464135021097046
286,98974,286,1.4788960085794436,0.0,0.6044444444444445
287,99247,287,1.6222804716477746,0.0,0.5823293172690763
288,99344,288,1.5675017025787383,0.0,0.5301204819277109
289,99457,289,1.050422709274664,0.0,0.7878787878787878
290,99514,290,1.213271122724982,0.0,0.717391304347826
291,99611,291,1.196998474400243,0.0,0.7176470588235294
292,99780,292,1.131208129267796,0.0,0.6503496503496503
293,100101,293,1.6747404781828958,0.0,0.571917808219178
294,100758,294,1.967378036615671,0.0,0.5342679127725857
295,101015,295,1.1490008606909987,0.0,0.7066115702479339
296,101448,296,1.8570028997846157,0.0,0.5294117647058824
297,101553,297,1.3331895632863877,0.0,0.6593406593406593
298,102002,298,1.8857430750155384,0.0,0.5662100456621004
299,102451,299,1.501734202816633,0.0,0.632183908045977
300,102692,300,1.0208878074212655,0.0,0.7739130434782608
301,102733,301,0.7972691421043128,0.0,0.6785714285714286
302,103270,302,1.42408043468895,0.0,0.6527514231499051
303,103439,303,0.9005404130890738,0.0,0.7012987012987013
304,103792,304,1.4114868830439524,0.0,0.629080118694362
305,103881,305,1.0817322515247825,0.0,0.7142857142857143
306,104082,306,1.3498198138752502,0.0,0.6408839779005525
307,104123,307,0.562780912540853,0.0,0.72
308,104388,308,1.5088968807636498,0.0,0.5583333333333333
309,104453,309,0.6017032201326583,0.0,0.8703703703703703
310,106238,310,2.1063723371860177,0.0,0.5025524673851389
311,106271,311,0.4786862540950824,0.0,0.9615384615384616
312,106328,312,0.10665267003562932,1.0,1.0
313,106881,313,1.8967178457569047,0.0,0.5582255083179297
314,106938,314,0.9853118196816648,0.0,0.8043478260869565
315,107355,315,1.58015211832013,0.0,0.5789473684210527
316,107572,316,0.937502103575758,0.0,0.7609756097560976
317,107645,317,1.0066934361073394,0.0,0.7413793103448276
318,107702,318,0.7768466650667999,0.0,0.7317073170731707
319,108183,319,1.915445335855314,0.0,0.5665236051502146
320,108528,320,1.6791211177246186,0.0,0.6119402985074627
321,109569,321,2.0216904148985506,0.0,0.5230166503428012
322,110282,322,2.035666108462966,0.0,0.553314121037464
323,110955,323,1.940747217640809,0.0,0.5138036809815951
324,111196,324,0.9824827241293714,0.0,0.75
325,111549,325,1.6478133010412497,0.0,0.6129032258064516
326,111670,326,1.7031318681319572,0.0,0.5849056603773585
327,111783,327,0.8831544537191848,0.0,0.8181818181818182
328,112328,328,1.7514870938885387,0.0,0.5893536121673004
329,112713,329,1.711307701595642,0.0,0.5417789757412399
330,112978,330,1.4359972398764997,0.0,0.6169354838709677
331,113243,331,1.2621847664159354,0.0,0.6693877551020408
332,113308,332,0.3909023892521145,0.0,0.9215686274509803
333,113653,333,1.4900145263125808,0.0,0.6189024390243902
334,114142,334,1.6731670900690887,0.0,0.5675105485232067
335,114199,335,0.4884028823806771,0.0,0.8444444444444444
336,114944,336,2.2939464393182307,0.0,0.5096153846153846
337,115081,337,1.0633210711001468,0.0,0.7661290322580645
338,115426,338,1.5493098351739922,0.0,0.6300940438871473
339,115459,339,0.08659653343784157,1.0,1.0
340,115532,340,0.675659613151252,0.0,0.7666666666666667
341,116189,341,1.8994788417942319,0.0,0.5451713395638629
342,116694,342,1.4772303109546594,0.0,0.6085192697768763
343,117031,343,1.2230288616869855,0.0,0.7222222222222222
344,117128,344,1.0408456084450637,0.0,0.7411764705882353
345,117697,345,1.8558173023080073,0.0,0.546112115732369
346,117962,346,1.169328037145897,0.0,0.6923076923076923
347,118027,347,0.1962103397576357,0.0,0.9302325581395349
348,118660,348,2.020890120795662,0.0,0.5347334410339257
349,118749,349,0.774866148332261,0.0,0.6901408450704225
350,118782,350,0.055487874182508674,1.0,1.0
351,119471,351,1.6908171018817784,0.0,0.5725075528700906
352,119520,352,0.7253475177287085,0.0,0.7894736842105263
353,119697,353,0.9736737626443012,0.0,0.7232704402515723
354,120026,354,1.4802333388397921,0.0,0.6415094339622641
355,120115,355,0.5794663532151291,0.0,0.8
356,120964,356,1.8722031570120927,0.0,0.5728038507821901
357,121205,357,1.4223804126421347,0.0,0.6186046511627907
358,121350,358,1.9794324118804556,0.0,0.5303030303030303
359,121671,359,1.5776363106787423,0.0,0.6027397260273972
360,121728,360,0.4280625905003399,0.0,0.875
361,122297,361,1.6878792260108404,0.0,0.5688405797101449
362,122858,362,1.5718780229945186,0.0,0.5738317757009346
363,123059,363,1.289844087691532,0.0,0.625
364,123156,364,1.3758518106754247,0.0,0.6506024096385542
365,124037,365,1.7908315306295017,0.0,0.5910652920962199
366,124278,366,1.3618911785106806,0.0,0.64
367,124903,367,2.079679325496866,0.0,0.5473856209150327
368,125168,368,1.6968409818774166,0.0,0.5789473684210527
369,125441,369,1.4990385118163843,0.0,0.6224899598393574
370,125666,370,1.6559843725795715,0.0,0.5283018867924528
371,126267,371,1.6189324586120168,0.0,0.613013698630137
372,127260,372,2.022490861004287,0.0,0.5587334014300307
373,127485,373,1.1155658024886985,0.0,0.7142857142857143
374,127702,374,1.0459395785974408,0.0,0.7536945812807881
375,128111,375,2.0095816312431167,0.0,0.5012658227848101
376,128368,376,2.334032915575479,0.0,0.5183673469387755
377,129689,377,2.0415547831062026,0.0,0.5282874617737003
378,129858,378,1.2236359701526434,0.0,0.6858974358974359
379,130171,379,1.845896051675368,0.0,0.587248322147651
380,130476,380,1.5274971204742112,0.0,0.6643598615916955
381,130549,381,0.6350838511674698,0.0,0.8421052631578947
382,131158,382,1.7705993491721952,0.0,0.5451263537906137
383,131359,383,1.109331592234022,0.0,0.7142857142857143
384,131888,384,1.4984068617424104,0.0,0.6233009708737864
385,132137,385,1.1939647821806327,0.0,0.6666666666666666
386,132186,386,0.4115902275343736,0.0,0.8064516129032258
387,132675,387,1.690107175445017,0.0,0.587737843551797
388,132908,388,1.252108232938682,0.0,0.7027027027027027
389,133469,389,1.6556229589900648,0.0,0.6022514071294559
390,133982,390,2.057344812066442,0.0,0.494
391,134175,391,1.7223546416655149,0.0,0.5580110497237569
392,134344,392,1.0129963298068505,0.0,0.6993006993006993
393,134689,393,1.4485588496890671,0.0,0.6402439024390244

